timestamp,open,high,low,close,volume
1641160980000,1.1369,1.1369,1.1369,1.1369,3.75
1641161040000,1.13689,1.13689,1.13689,1.13689,3.75
1641161100000,1.13692,1.13692,1.13692,1.13692,3.75
1641161160000,1.13668,1.13671,1.13652,1.13652,51.130001068115234
1641161220000,1.13655,1.13692,1.13649,1.13682,10.109999656677246
1641161280000,1.13682,1.13682,1.13682,1.13682,4
1641161340000,1.13689,1.13689,1.13689,1.13689,1
1641161400000,1.13682,1.13724,1.13678,1.13722,8.550000190734863
1641161460000,1.13723,1.13727,1.1371,1.13726,60.2599983215332
1641161520000,1.13725,1.13727,1.137,1.137,6.989999771118164
1641161580000,1.13726,1.13726,1.13723,1.13723,1.7999999523162842
1641161640000,1.13722,1.13722,1.13722,1.13722,0.44999998807907104
1641161700000,1.13722,1.13724,1.13721,1.13722,4.340000152587891
1641161760000,1.13722,1.13723,1.13722,1.13722,3.9700000286102295
1641161820000,1.13722,1.13722,1.13722,1.13722,1.350000023841858
1641161880000,1.13714,1.13716,1.13714,1.13716,4.5
1641161940000,1.13715,1.13715,1.13708,1.13712,11.25
1641162000000,1.13708,1.13708,1.13706,1.13706,7.949999809265137
1641162060000,1.13706,1.13717,1.13706,1.13717,40.20000076293945
1641162120000,1.13717,1.13719,1.13715,1.13718,30
1641162180000,1.13715,1.13718,1.13702,1.1371,59.400001525878906
1641162240000,1.13708,1.13711,1.137,1.13702,82.0999984741211
1641162300000,1.137,1.13714,1.137,1.137,145.75
1641162360000,1.137,1.13709,1.137,1.137,44.25
1641162420000,1.137,1.13706,1.137,1.13706,28.75
1641162480000,1.137,1.1371,1.137,1.137,37.25
1641162540000,1.13712,1.13712,1.137,1.137,52
1641162600000,1.137,1.13732,1.137,1.13731,110.3375015258789
1641162660000,1.13731,1.13731,1.13702,1.13704,19.112499237060547
1641162720000,1.13705,1.13728,1.13705,1.13727,7.75
1641162780000,1.13727,1.13739,1.13721,1.13726,79.29000091552734
1641162840000,1.13726,1.13741,1.13726,1.13735,49.189701080322266
1641162900000,1.13735,1.13741,1.13726,1.13727,24.322500228881836
1641162960000,1.13722,1.13739,1.13722,1.13738,2.7149999141693115
1641163020000,1.13738,1.13738,1.13725,1.13726,5.46120023727417
